session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
c6491992-370a-46ac-8e4d-b6830a531aec	2026-05-18T09:47:01+08:00	-home-ant-code-java-java-server-inherit	glm-5.1	1214	36	60346	9066	2426688	0	master
1a173500-e2fb-4bde-af9d-9fb4bc8cc209	2026-05-18T14:09:30+08:00	-home-ant-projects-xueqiu-crawler	glm-5.1	109	2	81107	1866	86528	0	main
ed05eb97-e879-4585-9522-63f618261c15	2026-05-18T14:20:30+08:00	-home-ant-code-java-java-server-inherit	glm-5.1	2502	16	102666	11534	793920	0	master
9e785f04-fb8d-4911-975b-82a8b43c2e91	2026-05-18T17:58:19+08:00	-home-ant-code-golang-src-scrmgo	glm-5.1	848	15	45433	3730	796608	0	9.4
dc2801b8-5925-40c3-bfe9-e42644bd0d66	2026-05-18T09:22:04.100Z	scrm-api	glm-5.1	378	36	46078	4803	872000	0	feature/scrm/9.4
