session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
69f1b819-73ab-4a42-bc75-3b6cc3719781	2026-07-29T08:04:23+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-f3afcd39-workdir	glm-5.2	110	3	59273	1420	100160	0	HEAD	0	claude
94670ff2-9a32-47c5-9058-148691e72d24	2026-07-29T08:33:24+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-7aa83bca-workdir	glm-5.2	21	2	12516	605	42496	0	HEAD	0	claude
773b7e31-1da7-4cc4-aa6d-9c5a4edcdfee	2026-07-29T15:16:22+08:00	-home-ant-code-golang-src-mcp-gateway	glm-5.2	4974	13	142394	34472	881408	0	feat/ops-dashboard-promotion	0	claude
9400e92e-66e6-48fc-b068-6fc4bd5e7949	2026-07-29T16:30:26+08:00	saveole.github.io	gemini-3.6-flash-high	1435	60	63576	18649	0	0	main	1150	agy
5f91e89c-e1b0-4f07-8109-3671a1aee07f	2026-07-29T17:39:45+08:00	-home-ant-code-golang-src-mcp-gateway	glm-5.2	1289	92	123137	52227	9325312	0	feat/ops-dashboard-promotion	0	claude
sess_300bbb46-41a1-4bc6-b3e6-fb1e487f0a14	2026-07-29T09:28:01+08:00	mcp-gateway	GLM-5.2	6492	11	13499286	82332	13052032	0	master	0	zcode
